dateTime,watcherId,latitude,longitude,name,peaceScore,words
2021-04-19 09:41:03,56,29.5245,-95.1973,Virgina,4,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Tomas,9,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Opal,10,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Denita,7,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Jeannine,10,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Lesa,5,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Denita,8,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Maxwell,9,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Luther,8,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Millie,9,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Lesia,3,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Carmina,10,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
2021-04-19 09:41:03,56,29.5245,-95.1973,Kimberley,6,"['vascular', 'minute', 'unknown', 'west', 'zebra', 'together', 'wash', 'wise', 'vessel', 'working', 'weekend', 'surface', 'winter', 'yes', 'whether', 'undertake', 'voice', 'thimble', 'transport', 'second', 'say', 'zookeeper', 'waste', 'specialisation', 'straight', 'wine', 'successive', 'physical']"
